PROVEEDOR,NUMERODELICITACION,TIPODECOMPRA,NUMERO DE CONTRATO,CODIGOSSA,CLAVEARTICULO,NOMBREMEDICAMENTO,UNIDADDEMEDIDA,MARCA,LABORATORIO,PRECIOUNITARIOCONDESCUENTO,SURTIDO
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2234,SUBROGADA,HGMGG-LPN-01-2234,010.000.4157.00,02-01-0606,"INSULINA LISPRO, 10 ML",FRASCO ÁMPULA,,HUMALOG,$287.32,78
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2235,SUBROGADA,HGMGG-LPN-01-2235,010.000.2187.00,02-01-0667,"IPRATROPIO,  BROMURO DE, 10 ML P/RESPIRADOR",FRASCO,,"BOEHRINGER INGELHEIM MEXICO, S.A. DE C.V.",$63.70,13
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2236,SUBROGADA,HGMGG-LPN-01-2236,010.000.2404.00,02-01-0677,"ISONIAZIDA, 100 MG",TABLETA,,VALIFLOL,$0.75,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2237,SUBROGADA,HGMGG-LPN-01-2237,010.000.2415.00,02-01-0513,"ISONIAZIDA/RIFAMPICINA, 200 MG/150 MG",TABLETA,,RIFINAH,$16.82,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2238,SUBROGADA,HGMGG-LPN-01-2238,010.000.0593.00  (20),02-01-0164,"ISOSORBIDA, DINITRATO DE, 10 MG",TABLETA,,"QUIMICA Y FARMACIA, S.A.DE C.V.",$0.29,26
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2239,SUBROGADA,HGMGG-LPN-01-2239,010.000.0592.00  (20),02-01-0163,"ISOSORBIDA, DINITRATO DE, 5 MG",TABLETA,,DEBISOR,$1.69,24
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2240,SUBROGADA,HGMGG-LPN-01-2240,010.000.2018.00  (15),02-01-0162,"ITRACONAZOL, 100 MG",CÁPSULA,,RIXTAL,$3.29,283
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2241,SUBROGADA,HGMGG-LPN-01-2241,040.000.0226.00,02-02-0015,"KETAMINA,  500 MG/10 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$42.09,132
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2242,SUBROGADA,HGMGG-LPN-01-2242,010.000.2016.00,02-01-0165,"KETOKONAZOL, 200 MG",TABLETA,,LIZOVAG,$1.02,1
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2243,SUBROGADA,HGMGG-LPN-01-2243,FCB,02-01-0333,"KETOPROPOFENO, 100 MG/2 ML",ÁMPULA,,TRALIKEN,$95.39,705
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2244,SUBROGADA,HGMGG-LPN-01-2244,FCB,02-01-0723,"KETOROLACO, 10 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$3.09,1533
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2245,SUBROGADA,HGMGG-LPN-01-2245,010.000.3422.00 (3),02-01-0601,"KETOROLACO, 30 MG/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$2.68,16330
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2246,SUBROGADA,HGMGG-LPN-01-2246,FCB,02-01-0853,"KETOROLACO/TRAMADOL, 10 MG/25 MG",TABLETA,,MAVIDOL TR,$41.34,36
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2247,SUBROGADA,HGMGG-LPN-01-2247,010.000.1006.00  (12),02-01-0381,"LACTATO GLUCONATO DE CALCIO, 500 MG",COMPRIMIDO,,"LABORATORIOS PISA, S.A. DE C.V.",$2.48,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2248,SUBROGADA,HGMGG-LPN-01-2248,"010.000.6099.00
010.000.6099.01",02-01-0707,"LACTULOSA, 10 G/15 ML ",FRASCO,,QUIMTULAC,$71.40,149
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2249,SUBROGADA,HGMGG-LPN-01-2249,010.000.5431.00,02-01-0826,"LEUPRORELINA, 3.75 MG",FRASCO ÁMPULA,,"ZURICH PHARMA, S.A. DE C.V.","$2,013.85",0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2250,SUBROGADA,HGMGG-LPN-01-2250,010.000.2617.00 (60),02-01-0762,"LEVETIRACETAM,  500 MG",TABLETA,,KEPPRA,$20.10,576
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2251,SUBROGADA,HGMGG-LPN-01-2251,010.000.2616.00,02-01-0767,"LEVETIRACETAM,  500 MG/5ML",FRASCO,,LEPREZIL SL,"$1,245.84",737
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2252,SUBROGADA,HGMGG-LPN-01-2252,FCB,02-01-0792,"LEVETIRACETAM, 500 MG/ 5 ML ",FRASCO ÁMPULA,,,,20
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2253,SUBROGADA,HGMGG-LPN-01-2253,010.000.4249.00 MISMA CONCENTRACIÓN DIFERENTE PRESENTACIÓN,02-01-0676,"LEVOFLOXACINA, 750 MG",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$308.98,98
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2254,SUBROGADA,HGMGG-LPN-01-2254,040.000.5476.00,02-02-0095,"LEVOMEPROMAZINA, 25 MG/1",ÁMPULA,,SINOGAN,$34.87,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2255,SUBROGADA,HGMGG-LPN-01-2255,010.000.6075.00,02-01-0697,"LEVONORGESTREL, 75 MG",IMPLANTE,,MICROLUT,$22.54,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2256,SUBROGADA,HGMGG-LPN-01-2256,010.000.1007.00,02-01-0176,"LEVOTIROXINA SODICA, 100 MCG",TABLETA,,CYNOCUATRO,$6.28,691
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2257,SUBROGADA,HGMGG-LPN-01-2257,010.000.0261.00 (5),02-01-0170,"LIDOCAINA 1% , 500 MG/50 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$26.42,202
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2258,SUBROGADA,HGMGG-LPN-01-2258,010.000.0262.00  (5),02-01-0171,"LIDOCAINA 2% ,  1 G/50 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$27.49,1608
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2259,SUBROGADA,HGMGG-LPN-01-2259,010.000.0264.00,02-01-0174,"LIDOCAINA SPRAY 10%, 110 MG",FRASCO,,"LABORATORIOS PISA, S.A. DE C.V.",$127.95,139
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2260,SUBROGADA,HGMGG-LPN-01-2260,010.000.0267.00,02-03-0029,"LIDOCAINA Y EPINEFRINA AL 2%, 1.8 ML",CARTUCHO DENTAL,,"LABORATORIOS PISA, S.A. DE C.V.",$5.50,1750
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2261,SUBROGADA,HGMGG-LPN-01-2261,010.000.0263.00  (50),02-01-0173,"LIDOCAINA, 5%,  100 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$0.04,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2262,SUBROGADA,HGMGG-LPN-01-2262,010.000.0265.00  (5),02-01-0172,"LIDOCAINA/EPINEFRINA AL 2%, 500 MG/50 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$31.14,694
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2263,SUBROGADA,HGMGG-LPN-01-2263,FCB,02-03-0041,"LIDOCAINA/PRILOCAINA  AL 25%, 30 G",TUBO,,"ASPEN LABS, S.A. DE C.V.",$371.25,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2264,SUBROGADA,HGMGG-LPN-01-2264,010.000.4291.00,02-01-0725,"LINEZOLID, 600 MG/300ML",BOLSA,,LINEZOLID,$287.50,420
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2265,SUBROGADA,HGMGG-LPN-01-2265,FCB,02-03-0042,LIQUIDO PESADO PURIFICADO PARA USO INTRAOCULAR (PERFLUORURO DE KALINA),"VÍAL, FRASCO ÁMPULA Ó JERINGA PRELLENADA",,"BAUSCH & LOMB MEXICO, S.A. DE C.V.","$2,288.47",10
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2266,SUBROGADA,HGMGG-LPN-01-2266,010.000.4184.00  (12),02-01-0179,"LOPERAMIDA, 2 MG",TABLETA,,"INDUSTRIAS QUIMICO FARMACEUTICAS AMERICANAS, S.A. DE C.V.",$0.44,3162
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2267,SUBROGADA,HGMGG-LPN-01-2267,010.000.5288.00,02-01-0765,LOPINAVIR 200 MG / RITONAVIR 50 MG,TABLETA,,KALETRA,$44.24,120
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2268,SUBROGADA,HGMGG-LPN-01-2268,010.000.2145.00,02-01-0847,"LORATADINA, 100 MG/100 ML ",FRASCO,,LARITOL,$46.00,16
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2269,SUBROGADA,HGMGG-LPN-01-2269,FCB,02-02-0065,"LORAZEPAM, 2 MG",TABLETA,,ATIVAN,$15.98,685
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2270,SUBROGADA,HGMGG-LPN-01-2270,FCB,02-03-0034,"MEPIVACAINA, 3%, ",CARTUCHO DENTAL,,DENTOCAIN SIMPLE,$7.72,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2271,SUBROGADA,HGMGG-LPN-01-2271,010.000.5292.00,02-01-0591,"MEROPENEM, 1 G",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$316.67,2034
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2272,SUBROGADA,HGMGG-LPN-01-2272,040.000.5910.00,02-02-0091,"METADONA, 10 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$12.09,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2273,SUBROGADA,HGMGG-LPN-01-2273,FCB,02-02-0092,"METADONA, 5 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$11.48,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2274,SUBROGADA,HGMGG-LPN-01-2274,010.000.0109.00 (3),02-01-0109,"METAMIZOL, 1 G/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$2.91,2962
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2275,SUBROGADA,HGMGG-LPN-01-2275,010.000.0108.00  (10),02-01-0110,"METAMIZOL, 500 MG",COMPRIMIDO,,"LABORATORIOS PISA, S.A. DE C.V.",$0.50,33
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2276,SUBROGADA,HGMGG-LPN-01-2276,010.000.5165.00  (30),02-01-0691,"METFORMINA, 850 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$0.36,232
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2277,SUBROGADA,HGMGG-LPN-01-2277,FCB,02-01-0184,"METIL CELULOSA AL 2%, 10 ML",FRASCO GOTERO,,METICEL OFTENO,$50.32,297
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2278,SUBROGADA,HGMGG-LPN-01-2278,010.000.0476.00  (50),02-01-0187,"METILPREDNISOLONA, 500 MG/8 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$146.07,696
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2279,SUBROGADA,HGMGG-LPN-01-2279,010.000.3433.00 ,02-01-0186,"METILPREDNISOLONA, 80 MG/2 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$42.28,130
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2280,SUBROGADA,HGMGG-LPN-01-2280,010.000.1242.00  (20),02-01-0190,"METOCLOPRAMIDA, 10 MG",COMPRIMIDO,,"INDUSTRIAS QUIMICO FARMACEUTICAS AMERICANAS, S.A. DE C.V.",$4.38,109
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2281,SUBROGADA,HGMGG-LPN-01-2281,010.000.1241.00  (6),02-01-0189,"METOCLOPRAMIDA, 10 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$1.64,5761
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2282,SUBROGADA,HGMGG-LPN-01-2282,DIFERENTE CONCENTRACIÓN PARA PEDIATRÍA,02-01-0844,"METOCLOPRAMIDA, 100 MG/100 ML",FRASCO,,CARNOTPRIM,$266.11,22
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2283,SUBROGADA,HGMGG-LPN-01-2283,010.000.0572.00  (20),02-01-0191,"METOPROLOL, 100 MG",TABLETA,,KENAPROL,$0.44,1142
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2284,SUBROGADA,HGMGG-LPN-01-2284,010.000.1308.00/010.000.1308.01 (20 Y 30),02-01-0196,"METRONIDAZOL, 500 MG",TABLETA,,"LABORATORIOS ALPHARMA, S.A. DE C.V.",$0.44,232
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2285,SUBROGADA,HGMGG-LPN-01-2285,010.000.1311.00,02-01-0193,"METRONIDAZOL, 500 MG/100 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$14.35,8256
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2286,SUBROGADA,HGMGG-LPN-01-2286,010.000.5381.00,02-01-0779,"MEZCLA DE OLIGOELEMENTOS, 10 ML.",AMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$92.00,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2287,SUBROGADA,HGMGG-LPN-01-2287,040.000.4057.00,02-02-0019,"MIDAZOLAM, 15 MG/3 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$16.00,10505
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2288,SUBROGADA,HGMGG-LPN-01-2288,040.000.2108.00,02-02-0064,"MIDAZOLAM, 5 MG/5 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$46.00,1785
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2289,SUBROGADA,HGMGG-LPN-01-2289,"010.000.6012.00-4 (1,2,4 Y 8)",02-01-0339,"MISOPROSTOL, 200 MCG",TABLETA,,CYRUX,$31.65,1972
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2290,SUBROGADA,HGMGG-LPN-01-2290,010.000.6011.00,02-01-0781,"MISOPROSTOL, 200 MCG ",IMPLANTE,,MYSPESS,"$1,796.17",0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2291,SUBROGADA,HGMGG-LPN-01-2291,010.000.3022.00,02-01-0748,"MITOMICINA, 5MG",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$242.61,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2292,SUBROGADA,HGMGG-LPN-01-2292,"400,002,099",02-02-0106,"MORFINA PENTAHIDRATADA, 2.5MG/2.5ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$37.22,120
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2293,SUBROGADA,HGMGG-LPN-01-2293,"400,002,103",02-02-0094,"MORFINA, 10 MG",TABLETA,,,,100
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2294,SUBROGADA,HGMGG-LPN-01-2294,040.000.2103.00  (5),02-02-0069,"MORFINA, 10 MG/10 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$224.43,180
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2295,SUBROGADA,HGMGG-LPN-01-2295,MISMA CONCENTRACIÓN VOLÚMEN DIFERENTE (040.000.2103.00),02-02-0081,"MORFINA, 10 MG/ML,  20 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$676.24,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2296,SUBROGADA,HGMGG-LPN-01-2296,040.000.4029.00  (20),02-02-0082,"MORFINA, 30 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$6.53,200
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2297,SUBROGADA,HGMGG-LPN-01-2297,FCB,,"MOSAPRIDA, 2.5 MG",TABLETA,,DOSIER,$6.22,147
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2298,SUBROGADA,HGMGG-LPN-01-2298,FCB,02-01-0745,MOXIFLOXACINO AL 0.5%,FRASCO GOTERO,,"NOVARTIS FARMACEUTICA, S.A. DE C.V.",$486.39,178
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2299,SUBROGADA,HGMGG-LPN-01-2299,010.000.4253.00,02-01-0727,"MOXIFLOXACINO, 400 MG",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$177.88,5
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2300,SUBROGADA,HGMGG-LPN-01-2300,010.000.5384.00  ,02-01-0582,MULTIVITAMINICO B-12,FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$77.47,1779
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2301,SUBROGADA,HGMGG-LPN-01-2301,010.000.2804.00,02-01-0843,"NAFAZOLINA,  1MG/ML.",FRASCO GOTERO,,OPHABRIK,$13.80,5
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2302,SUBROGADA,HGMGG-LPN-01-2302,040.000.0132.00/040.000.0132.01  (3 y 5),02-02-0020,"NALBUFINA, 10 MG/1ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$8.17,186
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2303,SUBROGADA,HGMGG-LPN-01-2303,010.000.0302.00,02-02-0021,"NALOXONA,  0.4 MG/1 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$20.99,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2304,SUBROGADA,HGMGG-LPN-01-2304,010.000.3407.00  (30),02-01-0309,"NAPROXENO, 250 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$0.74,27
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2305,SUBROGADA,HGMGG-LPN-01-2305,010.000.2824.00,02-01-0830,"NEOMICINA 1.750 MG , POLIMIXINA B 5,000 U.I. y GRAMICIDINA 0.025 MG. ",FRASCO GOTERO,,"LABORATORIOS PIZZARD, S.A. DE C.V.",$23.90,12
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2306,SUBROGADA,HGMGG-LPN-01-2306,010.000.4176.00  (10),02-01-0205,"NEOMICINA, 250 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$5.13,126
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2307,SUBROGADA,HGMGG-LPN-01-2307,010.000.0291.00  (6),02-01-0206,"NEOSTIGMINA, 0.5 MG/ML",ÁMPULA,,PROSTIGMINE,$25.88,520
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2308,SUBROGADA,HGMGG-LPN-01-2308,010.000.0597.00  820),02-01-0208,"NIFEDIPINO, 10 MG",CÁPSULA,,"TECNOFARMA, S.A. DE C.V.",$0.87,515
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2309,SUBROGADA,HGMGG-LPN-01-2309,010.000.0599.00,02-01-0794,"NIFEDIPINO, 30 MG",COMPRIMIDO DE LIBERACIÓN PROLONGADA,,"ULTRA LABORATORIOS, S.A. DE C.V.",$1.20,3847
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2310,SUBROGADA,HGMGG-LPN-01-2310,010.000.5424.00,02-01-0846,"NILUTAMIDA, 150 MG",TABLETA,,ANANDRON,$97.19,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2311,SUBROGADA,HGMGG-LPN-01-2311,010.000.5354.00,02-01-0521,"NIMODIPINO, 10 MG/50 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$241.01,12
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2312,SUBROGADA,HGMGG-LPN-01-2312,010.000.4260.00,02-01-0456,"NISTATINA,  100,000 UI/ ML",FRASCO,,PARASTINA,$44.14,54
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2313,SUBROGADA,HGMGG-LPN-01-2313,010.000.1911.00  (40),02-01-0210,"NITROFURANTOINA, 100 MG",CÁPSULA,,FUTROKEN,$2.30,53
